Abbreviation,Full name
41/RUB,CPI deflated EER+AC0-41/Russian rouble (EXR.M.E03.RUB.ERC0.A)
41/SAR,CPI deflated EER+AC0-41/Saudi riyal (EXR.M.E03.SAR.ERC0.A)
41/SEK,CPI deflated EER+AC0-41/Swedish krona (EXR.M.E03.SEK.ERC0.A)
41/SGD,CPI deflated EER+AC0-41/Singapore dollar (EXR.M.E03.SGD.ERC0.A)
41/THB,CPI deflated EER+AC0-41/Thai baht (EXR.M.E03.THB.ERC0.A)
41/TRY,CPI deflated EER+AC0-41/Turkish lira (EXR.M.E03.TRY.ERC0.A)
41/TWD,CPI deflated EER+AC0-41/New Taiwan dollar (EXR.M.E03.TWD.ERC0.A)
41/UAH,CPI deflated EER+AC0-41/Ukraine hryvnia (EXR.M.E03.UAH.ERC0.A)
41/USD,CPI deflated EER+AC0-41/US dollar (EXR.M.E03.USD.ERC0.A)
41/ZAR,CPI deflated EER+AC0-41/South African rand (EXR.M.E03.ZAR.ERC0.A)
